epoch,aeroplane,cat,deer,dog,frog
1,76.6,29.2,13.4,36.2,91.6
2,84.6,86.0,45.8,14.4,40.6
3,83.4,47.0,36.0,33.0,90.8
4,90.4,47.6,75.8,53.0,81.2
5,89.0,55.2,63.6,72.2,83.0
6,84.4,69.4,59.0,60.2,84.2
7,84.6,80.2,60.6,56.0,65.8
8,94.6,61.0,46.0,76.6,83.8
9,88.4,37.0,78.0,82.6,58.6
10,89.4,73.0,78.0,51.4,69.4
11,88.8,54.2,63.4,63.6,90.6
12,73.6,39.8,70.6,83.4,89.8
13,88.2,68.0,62.6,68.8,83.0
14,78.8,64.8,72.2,41.0,92.2
15,86.8,54.2,80.0,67.8,85.6
