epoch,aeroplane,cat,deer,dog,frog
1,59.6,2.2,47.0,72.8,32.8
2,90.6,68.4,14.6,0.0,68.4
3,85.6,25.2,59.2,31.2,75.6
4,89.4,18.4,63.4,53.8,74.4
5,82.8,72.0,34.2,0.6,88.6
6,77.8,61.4,70.2,14.2,78.4
