epoch,aeroplane,cat,deer,dog,frog
1,68.6,8.6,36.8,77.6,45.4
2,87.2,43.8,16.4,28.2,87.2
3,82.4,49.8,54.6,40.4,73.4
4,80.6,36.2,31.8,52.8,85.4
5,85.4,21.0,33.0,77.8,79.6
6,91.8,2.0,50.0,71.4,85.6
7,93.4,5.0,76.0,64.0,61.0
8,84.2,42.2,55.0,72.0,54.8
9,74.6,45.6,54.4,50.4,88.6
10,92.8,25.0,68.0,69.2,68.6
11,86.4,25.6,40.8,67.6,89.0
12,84.0,85.2,55.6,10.6,53.4
13,87.2,22.2,35.8,80.2,80.2
14,86.6,69.6,58.8,39.0,68.8
15,83.0,41.6,43.0,70.8,84.8
