epoch,aeroplane,cat,deer,dog,frog
1,90.4,0.0,33.4,83.6,18.0
2,82.8,85.6,34.4,18.8,40.2
3,82.8,54.2,82.0,32.2,65.0
4,91.0,68.0,47.6,46.0,77.8
5,89.6,58.2,64.0,43.2,67.0
6,60.0,65.2,38.2,42.0,92.4
7,88.4,79.8,59.2,44.0,57.8
8,86.8,85.8,49.6,53.0,69.2
9,89.6,45.8,71.6,75.0,74.8
10,91.2,53.4,61.4,81.8,49.4
11,91.2,54.4,82.4,70.6,49.6
12,89.4,53.4,71.6,45.4,79.2
13,74.2,44.4,72.2,76.2,84.2
14,85.4,74.2,77.2,55.2,60.8
15,91.4,72.0,64.0,67.0,63.0
