epoch,aeroplane,cat,deer,dog,frog
1,89.0,49.8,42.0,0.0,54.6
2,84.8,25.8,11.6,53.8,78.6
3,80.2,27.0,24.0,69.0,69.4
4,86.4,14.0,42.2,76.0,54.0
5,88.8,57.4,28.4,21.6,74.4
6,91.0,68.4,47.4,11.0,49.4
7,88.0,32.4,60.2,50.6,60.6
8,86.6,18.2,42.8,75.0,61.2
9,82.4,16.6,66.6,72.8,18.0
10,91.2,14.4,46.0,65.0,70.6
11,85.4,25.6,48.2,72.6,31.6
12,86.8,45.0,40.2,30.4,82.4
13,89.0,69.4,36.4,7.0,70.4
14,81.0,75.8,34.0,4.8,75.4
15,79.2,18.2,15.2,68.2,86.8
