epoch,training_loss
1,1.3302708097648621
2,1.211271143130064
3,1.161267174244523
4,1.1290556480252742
5,1.1215752363550664
6,1.1137686846899986
7,1.117212759899497
8,1.1056960389256478
9,1.1054000024159625
10,1.1040803931438923
11,1.1020346130931378
12,1.09319544095397
13,1.093172844041586
14,1.0964453530031442
15,1.0907943128055335
