epoch,aeroplane,cat,deer,dog,frog
1,88.84,50.92,40.08,0.0,53.0
2,84.12,25.96,14.6,50.7,77.44
3,79.06,26.78,24.86,67.2,66.32
4,83.66,13.78,41.22,76.3,53.52
5,88.5,59.6,30.18,21.28,71.98
6,89.86,68.56,46.32,11.1,49.04
7,88.12,32.82,57.34,47.3,59.38
8,86.42,19.84,41.96,75.0,58.84
9,81.18,16.1,64.86,69.62,20.04
10,90.9,14.24,46.32,62.84,68.62
11,85.44,25.1,47.18,72.08,31.7
12,86.5,43.36,41.6,26.58,80.96
13,89.66,69.74,36.34,5.38,68.26
14,79.06,76.3,34.94,4.16,74.3
15,78.1,17.78,15.6,66.16,83.9
