epoch,aeroplane,cat,deer,dog,frog
1,81.0,0.0,3.0,76.4,78.6
2,85.0,8.8,43.8,67.2,69.6
3,94.8,16.8,25.8,56.8,81.4
4,88.6,49.6,70.6,13.8,67.8
5,91.8,22.2,84.6,54.4,23.8
6,80.0,55.8,45.4,55.0,84.2
7,89.6,41.0,50.6,75.0,52.4
8,80.6,57.4,65.4,70.0,53.0
9,93.2,64.4,52.0,63.2,68.0
10,90.8,60.4,60.6,39.8,84.0
11,87.6,58.6,77.2,61.8,70.8
12,79.8,62.4,74.8,50.2,67.4
13,94.8,29.6,52.6,50.8,82.6
14,94.0,44.6,68.4,65.6,61.4
15,89.0,69.0,65.2,44.8,80.2
