epoch,aeroplane,cat,deer,dog,frog
1,82.4,0.0,40.8,85.0,36.0
2,82.4,30.4,18.6,78.4,44.8
3,88.2,56.2,49.2,39.4,64.0
4,84.0,25.8,64.6,52.4,92.2
5,88.2,38.8,57.0,65.4,82.0
6,86.6,46.2,66.2,55.4,81.8
7,85.2,49.2,61.8,67.0,71.2
8,92.4,38.2,48.2,31.4,94.2
9,79.8,30.0,78.2,74.2,70.6
10,95.8,45.6,66.8,61.2,58.0
11,92.8,70.2,66.2,42.0,56.2
12,92.6,39.4,71.8,68.8,73.6
13,81.6,37.4,85.8,56.4,64.4
14,83.0,60.8,69.0,70.4,62.4
15,88.2,37.2,72.6,67.6,86.2
