epoch,aeroplane,cat,deer,dog,frog
1,88.0,0.0,0.0,75.4,72.0
2,74.6,7.0,48.0,89.2,5.8
3,91.6,38.6,34.6,39.6,83.2
4,89.4,73.8,20.2,49.4,39.0
5,93.6,69.2,48.6,19.6,52.4
6,79.8,7.4,67.6,84.2,53.6
7,88.2,57.8,65.8,64.6,63.8
8,87.0,56.2,48.4,66.6,80.0
9,85.4,59.8,63.4,60.4,68.4
10,90.4,39.6,76.2,54.0,44.6
11,95.8,62.2,24.0,61.4,75.2
12,91.2,55.0,50.0,53.6,86.2
13,91.8,60.6,73.4,52.4,78.0
14,93.8,43.8,72.0,66.2,31.8
15,88.2,53.6,80.0,25.8,72.2
